"player_id","sc_id","player_name","team_abbrev","jersey","pos1","pos2","avg","age","games","P1_SC","P1_TOG","P1_P85","P2_SC","P2_TOG","P2_P85","injury","P_AVG"
290787,506,"Shaun Atley","NTH","18","DEF",,74.33,27,"197",50,94,45,70,81,73,,59
1004894,507,"Aiden Bonar","NTH","16","MID","FWD",41.5,20,"6",76,61,106,14,27,44,,75
291867,508,"Ben Brown","NTH","50","FWD",,79.55,27,"110",,,,,,,"Calf: 1-2 weeks (2020-03-10)",
290246,509,"Tom Campbell","NTH","42","RUC","FWD",52.5,28,"44",,,,,,,,
1015781,510,"Charlie Comben","NTH","30","RUC","FWD",0,18,"",,,,,,,,
1006138,511,"Joel Crocker","NTH","36","DEF",,0,19,"",,,,,,,,
280921,512,"Ben Cunnington","NTH","10","MID",,102.05,28,"209",97,79,104,28,42,57,,80.5
1002267,513,"Luke Davies-Uniacke","NTH","9","FWD","MID",63,20,"21",,,,,,,"Groin: TBC (2020-03-10)",
290199,514,"Majak Daw","NTH","1","DEF",,0,28,"50",30,79,32,41,68,51,,41.5
296035,515,"Trent Dumont","NTH","14","MID",,83.81,24,"82",57,87,56,66,79,71,,63.5
297767,516,"Sam Durdin","NTH","24","DEF",,52.6,23,"19",67,78,73,,,,,73
296078,517,"Taylor Garner","NTH","6","FWD",,62.22,25,"43",52,71,62,53,42,107,,84.5
271129,518,"Todd Goldstein","NTH","22","RUC",,112.23,31,"234",100,72,118,100,75,113,,115.5
296735,519,"Aaron Hall","NTH","43","MID",,75.83,29,"109",,,,98,73,114,,114
998327,520,"Kyron Hayden","NTH","37","MID",,31,20,"1",,,,,,,"Achilles: 9-11 weeks (2020-03-10)",
260227,521,"Shaun Higgins","NTH","4","MID",,94.88,31,"220",,,,119,87,116,,116
1001351,522,"Lachlan Hosie","NTH","46","FWD",,0,22,"",,,,,,,,
290802,523,"Ben Jacobs","NTH","5","MID",,0,27,"90",,,,,,,"Concussion: TBC (2020-03-10)",
1001017,524,"Nick Larkey","NTH","20","FWD",,60.59,21,"19",67,85,67,108,82,112,,89.5
290194,525,"Jamie Macmillan","NTH","34","DEF",,81.61,28,"157",67,81,70,70,87,68,,69
1009189,526,"Jack Mahony","NTH","35","MID","FWD",0,18,"",30,69,37,53,73,62,,49.5
296355,527,"Luke McDonald","NTH","11","DEF",,60.23,24,"109",66,84,67,56,85,56,,61.5
1006653,528,"Matthew McGuinness","NTH","41","DEF",,0,19,"",,,,,,,,
